admin0_name,description,link_text,link_url
Mauritania,"A regional programme strengthening and scaling up the resilience and adaptive capacities of smallholder farmers and rural communities of seven least developed countries (LDCs) in the Sahel. It will provide capacity building and institutional development on integrated climate risks management. This includes reducing obstacles to access agricultural insurance for governments and smallholder farmers to enhance resilience building, and strengthening climate weather information services.",The Africa Integrated Climate Risk Management Programme: Building the resilience of smallholder farmers to climate change impacts in 7 Sahelian Countries of the Great Green Wall (GGW),https://www.greenclimate.fund/project/fp162
Mauritania,"A cross-cutting programme (adaptation + mitigation) which enhances access to credit and technical assistance for local farmers, farmers’ organisations, cooperatives and micro and small sized enterprises. This will help them implement climate-resilient and low-emission agriculture and agroforestry. This programme covers 11 countries in the Great Green Wall, in addition to Côte d’Ivoire and Ghana. A major aim of the initiative is to build greater coherence and complementarity of climate action in Africa.","Inclusive Green Financing Initiative (IGREENFIN I): Greening Agricultural Banks & the Financial Sector to Foster Climate Resilient, Low Emission Smallholder Agriculture in the Great Green Wall (GGW) countries - Phase I",https://www.greenclimate.fund/project/fp183
Mozambique,"Focusing on semi-arid areas, this project will adopt a community-based approach to enhance the climate-resilient food security and livelihoods of smallholders. It will enhance adaptation for climate risks in households and communities through a rural resilience approach.",Climate-resilient food security for women and men smallholders in Mozambique through integrated risk management,https://www.greenclimate.fund/project/sap011
Mozambique,"This programme works to reduce or avoid climate change impacts through ecosystem-based adaptation for vulnerable coastal populations by pooling adaptation sub-projects by non-governmental organisation (NGOs) under the Blue Action Fund to improve climate-resilient coastal zone management. The programme will leverage additional co-financing from NGOs, while grant recipients are required to provide 25 percent of the budget of their projects.",Blue Action Fund (BAF): GCF Ecosystem Based Adaptation Programme in the Western Indian Ocean,https://www.greenclimate.fund/project/fp122
Mozambique,"This project aims to reduce the vulnerability of urban and peri-urban communities in the Greater Maputo Region (home to 3 million people) to current and future climate risks by addressing the degradation of ecosystems - and their services - and enhancing the capacity of communities to adapt. The project will do so by strengthening the capacity of municipal and district authorities to plan and implement ecosystem-based adaptation, restore mangrove and riparian ecosystems, promote climate-resilient livelihood, diversify economic activities, and increase the available knowledge and public awareness on the benefits of ecosystem-based adaptation interventions.",Building Resilience in the Coastal Zone through Ecosystem-Based Approaches to Adaptation in the Greater Maputo Area,https://www.unep.org/topics/climate-action/adaptation/ecosystem-based-adaptation/ecosystem-based-adaptation-mozambique
Namibia,"The overall objective of the project is to enhance adaptation capacity and resilience of communities to changing weather patterns, drops/rises in water levels, and increased frequency of extreme weather events, such as droughts and floods.",Resilience building as climate change adaptation in drought-struck South-western African communities,https://www.adaptation-fund.org/project/angola-and-namibia-resilience-building-as-climate-change-adaptation-in-drought-struck-south-western-african-communities/
Namibia,This project uses Ecosystem-based Adaptation (EbA) as cost effective and low risk approach to build climate resilience across eight targeted landscapes in Namibia. The project is based on the premise that biodiversity and ecosystems provide valuable services that increase the climate resilience of local communities.,Building resilience of communities living in landscapes threatened under climate change through an ecosystems-based adaptation approach,https://www.greenclimate.fund/project/sap006
Namibia,This project addresses the impacts of increasing temperature and higher water evaporation on crop production and bush encroachment on land and livestock productivity to reduce vulnerability of smallholder farmers. It increases the efficiency with which rainfall is used to maintain agricultural and rangeland production.,"Improving rangeland and ecosystem management practices of smallholder farmers under conditions of climate change in Sesfontein, Fransfontein, and Warmquelle areas of the Republic of Namibia",https://www.greenclimate.fund/project/sap001
Niger,"One of several CCAFS-led projects to promote food security under a changing climate. This project concerns the establishment of a climate-smart village in Fakara, in the Kollo region, where farmers work with researchers and other local partners to test a portfolio of climate-smart technologies and practices. Projects are implemented in an integrated manner in order to realize the triple benefits of climate-smart agriculture: productivity, adaptation and mitigation",Developing Climate-Smart Village Models in Niger,https://ccafs.cgiar.org/regions/west-africa/niger
Niger,"Niger is a member of the Climate-Smart Agriculture Alliance launched in June 2015, in Mali, in partnership with ECOWAS and CCAFS. This alliance aims to enhance adaptation and resilience to climate variability and change, while increasing farm productivity and incomes sustainably and equitably, and controlling and reducing greenhouse gas emissions wherever possible and appropriate, at a regional level. ",West African Alliance for Climate-Smart Agriculture,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Niger,"A CCAFS initiative of building a network of national stakeholders, including scientists and policy makers, regularly exchanging knowledge on adaptation to climate change.",National science-policy dialogue platform,https://ccafs.cgiar.org/regions/west-africa/niger
Nigeria,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Nigeria,"The Climate Change bill was signed into law by the President Buhari in November 2021 in order to provide Nigeria with a legal framework for the country to achieve its climate goals, achieve long-term social and economic sustainability, and resilience.. Key points include a Climate Change Fund, risk assessments, and mainstreaming adaptation into sectoral policies.",Nigeria's Climate Change Act,https://climate-laws.org/document/nigeria-s-climate-change-act_5ef7
Nigeria,"The Acumen Resilient Agriculture Fund (ARAF) is a regional fund to improve climate resilience to ensure long-term sustainable increases in agriculture productivity and incomes for smallholder farmers. It shifts the pattern of investment in climate change adaptation activities in Africa from grants to a long-term capital approach, enabling smallholder farmers to respond to climate change more efficiently and effectively. It supports innovative private social entrepreneurs in micro-, small, and medium-sized enterprises (MSMEs) by providing aggregator and digital platform and innovative financial services to smallholder farmers.",Acumen Resilient Agriculture Fund (ARAF),https://www.greenclimate.fund/project/fp078
Rwanda,The overall objective of this regional project is to reduce vulnerability to the negative effects of climate change in the five Lake Victoria Basin countries by building climate resilience.,Adapting to Climate Change in Lake Victoria Basin,https://www.adaptation-fund.org/project/adapting-climate-change-lake-victoria-basin-burundi-kenya-rwanda-tanzania-uganda/
Rwanda,"The objective of the project is to increase the adaptive capacity of natural systems and rural communities to climate change impacts, notably recurring floods, landslides and erosion through an integrated natural resource management and alternative livelihoods programme.",Reducing Vulnerability to Climate Change in North West Rwanda through Community Based Adaptation,https://www.adaptation-fund.org/project/reducing-vulnerability-to-climate-change-in-north-west-rwanda-through-community-based-adaptation/
Rwanda,"A programme to consolidate the sustainable agricultural transformation in Rwanda, by (i) fostering Rwanda’s agricultural transition to socially and environmentally inclusive food systems and (ii) ensuring Rwanda’s environmental and climate sustainability. The project will contribute to Rwanda’s Nationally Determined Contributions objective on climate adaptation.",Transformational climate-smart and inclusive agriculture in Rwanda,https://www.minecofin.gov.rw/news-detail/government-of-rwanda-and-eu-conclude-new-agriculture-cooperation-programme-on-transformational-climate-smart-and-inclusive-agriculture-in-rwanda
Senegal,"One of several CCAFS-led projects to promote food security under a changing climate. This project concerns the establishment of a climate-smart village in Daga Birame in Kaffrine region, where farmers work with researchers and other local partners to test a portfolio of climate-smart technologies and practices. Projects are implemented in an integrated manner in order to realize the triple benefits of climate-smart agriculture: productivity, adaptation and mitigation.",Developing Climate-Smart Village Models in Senegal,https://ccafs.cgiar.org/regions/west-africa/senegal
Senegal,"An initiative of building a network of national stakeholders, including scientists and policy makers, regularly exchanging knowledge on adaptation to climate change.",National science-policy dialogue platform,https://cgspace.cgiar.org/items/d783a838-bae0-45b1-a0d6-33cb51473867
Senegal,"Senegal is a member of the Climate-Smart Agriculture Alliance launched in June 2015, in Mali, in partnership with ECOWAS and CCAFS. This alliance aims to enhance adaptation and resilience to climate variability and change, while increasing farm productivity and incomes sustainably and equitably, and controlling and reducing greenhouse gas emissions wherever possible and appropriate, at a regional level. ",West African Alliance for Climate-Smart Agriculture,https://ccafs.cgiar.org/news/alliance-climate-smart-agriculture-launched-west-africa#.VmAbYOPJ2ko
Sierra Leone,"The overall objective of this additional climate finance for adaptation is to reduce vulnerability and increase adaptive capacity to respond to the impacts of climate change, including variability at local and national levels as well as on natural resources critical for sustaining agricultural production and increasing food security and nutrition of vulnerable poor communities.",Promoting Climate Resilience in the Cocoa and Rice Sectors as an Adaptation Strategy in Sierra Leone,https://www.adaptation-fund.org/project/promoting-climate-resilience-coco-rice-sector-sierra-leone/
Sierra Leone,"This project enhances Sierra Leone’s resilience to natural disasters by establishing an efficient Multi-Hazard Impact-based Forecasting and Early Warning and Early Action System, to train and better equip local climate agencies’ ability to predict and plan for future extreme weather events based on robust climate information. An evidence-based approach will enable decision-makers to adapt better and more efficiently to changing climate patterns and rising sea levels. ",Enhancing Climate Information Systems for Resilient Development in Sierra Leone,https://www.greenclimate.fund/project/sap033
Sierra Leone,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Somalia,"The Somalia’s National Adaptation Plan (NAP) Framework (NAP Framework) (2022) outlines the country's strategy, priorities, and actions for adapting to climate change.",Somalia’s National Adaptation Plan (NAP) Framework,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC217419/
Somalia,"A report outlining ways that policymakers in Somalia can increase access to climate finance and better integrate adaptation, mitigation and disaster risk management in socioeconomic development.",Climate-resilient development for Somalia,https://www.sparc-knowledge.org/publications-resources/climate-resilient-development-somalia
Somalia,"The objective of the project was to enhance resilience and improve adaptive capacity of vulnerable Somali communities and the ecosystems on which they depend to the adverse impacts of climate change. The activities of the project are seen as innovative and have practically enhanced the capacities of government institutions and communities to implement measures of adaptation to climate change, particularly to floods and droughts.",Enhancing Climate Resilience of the Vulnerable Communities and Ecosystems in Somalia,https://sdgs.un.org/partnerships/enhancing-climate-resilience-vulnerable-communities-and-ecosystems-somalia
South Africa,"This project aims to reduce climate vulnerability and increase the resilience and adaptive capacity in rural and peri-urban settlements and small-scale farmers in productive landscapes in the uMgungundlovu District Municipality (UMDM), KwaZulu Natal Province, South Africa, that are threatened by climate variability and change, through an integrated adaptation approach.","Building Resilience in the greater uMngeni Catchment, South Africa",https://www.adaptation-fund.org/project/building-resilience-in-the-greater-umngeni-catchment/
South Africa,The project enhances water use efficiency by establishing and operationalising a national water reuse programme (WRP) that helps address the water scarcity issue by transforming the country’s wastewater system. ,Climate Change Resilience through South Africa’s Water Reuse Programme (“WRP”),https://www.greenclimate.fund/project/fp209
South Africa,"South Africa’s Climate Smart Agriculture Strategic Framework define CSA as an approach that will assist the country in addressing the socio-economic challenges associated with the increasing change in climate. In our view, CSA addresses three key elements: - 1) Adaptation (by enhancing resilience of people, food, and agricultural production systems 2) Mitigation (minimising agricultural greenhouse emissions 3) Safeguarding food security in line with Sustainable Development Goals (SDG).", Climate Smart Agriculture Strategic Framework,https://www.dalrrd.gov.za/images/Docs/climate-smart-agriculture-book.pdf
South Sudan,"A cross-cutting national policy with the overarching objective to communicate to the international community priority activities that will address South Sudan's urgent and immediate needs for adapting to the adverse impacts of climate change. South Sudan's NAPA specifies 5 priority activities (referred to as Priority Adaptation Projects), namely: i) Environment; ii) Water Resources; iii) Agriculture; iv) Disaster Risk Reduction; and v) Policy and Institutional Framework.",Republic of South Sudan's National Adaptation Programme of Actions (NAPA) to Climate Change,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC175399/
South Sudan,"A project putting in place three components to address current and future impacts of climate change in South Sudan: (1) a multi-hazard early warning system, (2) a practical ecosystem-based adaptation process for people in flood affected areas, and (3) setting up a Climate Change Centre at the University of Juba.",Strengthening the Capacity of Government and Communities in South Sudan to Adapt to Climate Change,https://www.thegef.org/projects-operations/projects/9723
South Sudan,"A four-year project designed to increase the resilience of vulnerable communities to the observed and predicted impacts of climate change. This project operationalizes the priorities identified within South Sudan’s National Adaptation Plan (NAP), particularly on agriculture, disaster risk reduction, environment, water resources, policy and institutional frameworks and will implement interventions designed to increase the capacity of the government to drive climate change adaptation interventions; upgrade the national meteorological network and support the production of short-range forecasts and increase the provision of ecosystem goods and services.","Ministry of Environment and Forestry, the United Nations Development Programme (UNDP) and the United Nations Environment Programme (UNEP) joint Memorandum of Understanding",https://www.preventionweb.net/news/undp-unep-south-sudan-govt-sign-usd-9m-project-deal-climate-change
Sudan,"A project with the aim of increasing the resilience of smallholder farmers and pastoralists to climate change risks mainly those related to drought, through the establishment of appropriate early warning systems and implementation of drought adaptation actions in the IGAD region.",Strengthening Drought Resilience for Small Holder Farmers and Pastoralists in the IGAD Region ,https://www.adaptation-fund.org/project/djibouti-kenya-sudan-and-uganda-strengthening-drought-resilience-for-small-holder-farmers-and-pastoralists-in-the-igad-region/
Sudan,A project with the objective to increase the adoption of sustainable land and water management practices in targeted landscapes,Sudan Sustainable Natural Resources Management Project (SSNRMP),https://projects.worldbank.org/en/projects-operations/project-detail/P161304
Sudan,"A project with the overall aim of increasing the resilience of livelihoods and agricultural systems in the White Nile State through ecosystem-based approaches such as rangeland regeneration, afforestation, rainwater harvesting and drought-tolerant agriculture.",Enhancing the resilience of communities living in climate change vulnerable areas of Sudan using EbA approaches,https://www.unep.org/topics/climate-action/adaptation/ecosystem-based-adaptation/ecosystem-based-adaptation-sudan
Tanzania,The overall objective of this regional project is to reduce vulnerability to the negative effects of climate change in the five Lake Victoria Basin countries by building climate resilience.,Adapting to Climate Change in Lake Victoria Basin,https://www.adaptation-fund.org/project/adapting-climate-change-lake-victoria-basin-burundi-kenya-rwanda-tanzania-uganda/
Tanzania,"The objective of proposed SWAHAT project is enhancing resilience and adaptation of semi arid rural communities to climate change-induced impacts of drought, floods and water scarcity through strategic water harvesting technologies that will contribute to improved crops, aquaculture and livestock productivity, reforestation as well as combating emerging crops and livestock pests and diseases.",Strategic Water Harvesting Technologies for Enhancing Resilience to Climate Change in Rural Communities in Semi-Arid Areas of Tanzania (SWAHAT),https://www.adaptation-fund.org/project/strategic-water-harvesting-technologies-for-enhancing-resilience-to-climate-change-in-rural-communities-in-semi-arid-areas-of-tanzania-swahat-2/
Tanzania,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance in Tanzania,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Togo,"A regional project aiming to reduce the vulnerability of farmers and pastoralists to increase climatic risk, which undermines the level of food security, income generation, and the supporting ecosystem services of poor communities.",Promoting Climate-Smart Agriculture in West Africa,https://www.adaptation-fund.org/project/promoting-climate-smart-agriculture-west-africa-benin-burkina-faso-ghana-niger-togo/
Togo,"Regional project with coordinated and joint measures to improve climate adaptation, primarily concerned with integrated water management, and flood and drought early warning systems.",Integrating Flood and Drought Management and Early Warning for Climate Change Adaptation in the Volta Basin,https://www.adaptation-fund.org/project/integrating-flood-drought-management-early-warning-climate-change-adaptation-volta-basin-benin-burkina-faso-cote-divoire-ghana-mali-togo/
Togo,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Uganda,"An initiative with the goal of developing and implementing adaptation strategies and measures that will strengthen the resilience of vulnerable smallholder farmers, agro-pastoralists and pastoralists in the Horn of Africa to climate variability and change. ",Agricultural Climate Resilience Enhancement Initiative (ACREI),https://www.adaptation-fund.org/project/agricultural-climate-resilience-enhancement-initiative-acrei-ethiopia-kenya-uganda/
Uganda,"A project with the aim of increasing the resilience of smallholder farmers and pastoralists to climate change risks mainly those related to drought, through the establishment of appropriate early warning systems and implementation of drought adaptation actions in the IGAD region.",Strengthening Drought Resilience for Small Holder Farmers and Pastoralists in the IGAD Region ,https://www.adaptation-fund.org/project/djibouti-kenya-sudan-and-uganda-strengthening-drought-resilience-for-small-holder-farmers-and-pastoralists-in-the-igad-region/
Uganda,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance in Uganda,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Zambia,"A programme promoting agricultural diversification, sustainability, and jobs to help Zambia achieve its potential as an agricultural powerhouse for Africa in the face of climate change.",Zambia Growth Opportunity Performance for Results Program (ZAMGRO),https://gca.org/scaling-up-climate-adaptation-solutions-for-zambias-smallholder-farmers/
Zambia,"A project to increase the climate resilience of smallholder farmers in agro-ecological regions through a value-chain approach to achieve increased access to climate information services, support for climate-resilient agricultural inputs and practices, sustainable water management, and alternative livelihoods.",Strengthening Climate Resilience of Agricultural Livelihoods in Agro-ecological Regions I and II (SCRALA),https://www.greenclimate.fund/project/fp072
Zambia,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance in Zambia,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Zimbabwe,A project aiming to increase local communities’ adaptive capacity and resilience to climate change through sustainable groundwater utilisation for food security and other productive uses in rural areas of Zimbabwe. ,Strengthening Local Communities’ Adaptive Capacity and Resilience to Climate Change through Sustainable Groundwater Utilisation in Zimbabwe,https://www.adaptation-fund.org/project/strengthening-local-communities-adaptive-capacity-and-resilience-to-climate-change-through-sustainable-groundwater-exploitation-in-zimbabwe-2/
Zimbabwe,A report with the overall objective to influence the adoption of agroecology as a viable adaptation and mitigation solution to climate change through a coordinated national campaign programme. ,Zimbabwe National Climate Policy Report: A Scoping Study for a National Campaign on Agroecology for Climate Action,https://afsafrica.org/wp-content/uploads/2021/10/ncps-cli.-report-zimbabwe.pdf
Zimbabwe,"Zimbabwe’s Low Emissions Development Strategy (2020-50) presents emissions reduction options across the four Intergovernmental Panel on Climate Change (IPCC) reporting sectors namely the Energy Sector, Industrial Processes and Product Use (IPPU), Waste Sector and the broad Agriculture, Forestry and other Land Uses (AFOLU), covering the whole economy",Zimbabwe Long-term Low Greenhouse Gas Emission Development Strategy ,https://unfccc.int/sites/default/files/resource/Zimbabwe%20LEDS_08Nov2022.pdf
